id,name,city,province,lat,lng,has_er,data_source,wait_metric,stat_type
qc_hpitaldegatineau,HÔPITAL DE GATINEAU,Gatineau,QC,45.493296,-75.691064,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldegranby,HÔPITAL DE GRANBY,Granby,QC,45.410592,-72.722956,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldehull,HÔPITAL DE HULL,Gatineau,QC,45.444873,-75.746033,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldelabaie,HÔPITAL DE LA BAIE,Saguenay,QC,48.343909,-70.883162,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldelachine,HÔPITAL DE LACHINE,Montréal,QC,45.440835,-73.676985,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldelacitdelasan,HÔPITAL DE LA CITÉ-DE-LA-SANTÉ,Laval,QC,45.603319,-73.710819,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldelamalbaie,HÔPITAL DE LA MALBAIE,La Malbaie,QC,47.65619,-70.151741,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldelarchipel,HÔPITAL DE L'ARCHIPEL,Les Îles-De-La-Madeleine,QC,47.375575,-61.868773,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldelasalle,HÔPITAL DE LASALLE,Montréal,QC,45.420839,-73.623371,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldelenfantjsus,HÔPITAL DE L'ENFANT-JÉSUS,Québec City,QC,46.837483,-71.22604,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldemaniwaki,HÔPITAL DE MANIWAKI,Maniwaki,QC,46.39085,-75.979405,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldematane,HÔPITAL DE MATANE,Matane,QC,48.843566,-67.524416,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldemontlaurier,HÔPITAL DE MONT-LAURIER,Mont-Laurier,QC,46.549211,-75.517655,t,qc_quebec,time_to_physician,current_estimate
qc_hpitalderouynnoranda,HÔPITAL DE ROUYN-NORANDA,Rouyn-Noranda,QC,48.243809,-79.019318,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldesainteustach,HÔPITAL DE SAINT-EUSTACHE,Saint-Eustache,QC,45.571266,-73.913739,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldesaintgeorges,HÔPITAL DE SAINT-GEORGES,Saint-Georges,QC,46.109716,-70.685194,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldesaintjrme,HÔPITAL DE SAINT-JÉRÔME,Saint-Jérôme,QC,45.765569,-74.000191,t,qc_quebec,time_to_physician,current_estimate
qc_hopitaldthetfordmine,Hôpital de Thetford,Thetford Mines,QC,46.1101,-71.2786,t,qc_quebec,time_to_physician,current_estimate
qc_hpitaldeverdun,HÔPITAL DE VERDUN,Montréal,QC,45.464098,-73.563989,t,qc_quebec,time_to_physician,current_estimate
qc_hpitalducentredelama,HÔPITAL DU CENTRE-DE-LA-MAURICIE,Shawinigan,QC,46.525584,-72.743393,t,qc_quebec,time_to_physician,current_estimate
qc_hpitalduhautrichelie,HÔPITAL DU HAUT-RICHELIEU,Saint-Jean-Sur-Richelieu,QC,45.332523,-73.270212,t,qc_quebec,time_to_physician,current_estimate
